Date,Symbols,Close
2017-01-04,2s.bk,4.230000972747803
2017-01-04,7up.bk,0.8799999952316284
2017-01-04,a.bk,6.300000190734863
2017-01-04,a5.bk,14.0
2017-01-05,2s.bk,5.340001106262207
2017-01-05,7up.bk,0.8999999761581421
2017-01-05,a.bk,6.300000190734863
2017-01-05,a5.bk,14.0
2017-01-06,2s.bk,4.950000762939453
2017-01-06,7up.bk,0.8999999761581421
2017-01-06,a.bk,6.300000190734863
2017-01-06,a5.bk,14.0
2017-01-09,2s.bk,4.80000114440918
2017-01-09,7up.bk,0.8799999952316284
2017-01-09,a.bk,6.300000190734863
2017-01-09,a5.bk,14.0
2017-01-10,2s.bk,5.52000093460083
2017-01-10,7up.bk,0.8700000047683716
2017-01-10,a.bk,6.300000190734863
2017-01-10,a5.bk,14.0
2017-01-11,2s.bk,5.220001220703125
2017-01-11,7up.bk,0.8199999928474426
2017-01-11,a.bk,6.300000190734863
2017-01-11,a5.bk,14.0
2017-01-12,2s.bk,5.400001049041748
2017-01-12,7up.bk,0.8199999928474426
2017-01-12,a.bk,6.25
2017-01-12,a5.bk,14.0
2017-01-16,2s.bk,5.310000896453857
2017-01-16,7up.bk,0.8199999928474426
2017-01-16,a.bk,6.300000190734863
2017-01-16,a5.bk,14.0
2017-01-17,2s.bk,5.250000953674316
2017-01-17,7up.bk,0.8299999833106995
2017-01-17,a.bk,6.25
2017-01-17,a5.bk,14.0
2017-01-18,2s.bk,5.190001010894775
2017-01-18,7up.bk,0.8399999737739563
2017-01-18,a.bk,6.300000190734863
2017-01-18,a5.bk,14.0
2017-01-19,2s.bk,5.130001068115234
2017-01-19,7up.bk,0.8899999856948853
2017-01-19,a.bk,6.300000190734863
2017-01-19,a5.bk,14.0
2017-01-20,2s.bk,5.190001010894775
2017-01-20,7up.bk,0.8700000047683716
2017-01-20,a.bk,6.300000190734863
2017-01-20,a5.bk,14.0
2017-01-23,2s.bk,5.370000839233398
2017-01-23,7up.bk,0.8700000047683716
