,date,provinceNo
0,20210115,31.0
0,20210115,26.0
0,20210122,63.0
0,20210122,70.0
0,20210122,44.0
0,20210122,31.0
0,20210122,26.0
0,20210201,63.0
0,20210201,70.0
0,20210201,44.0
0,20210201,31.0
0,20210201,26.0
0,20210208,63.0
0,20210208,70.0
0,20210208,44.0
0,20210208,31.0
0,20210208,45.0
0,20210208,26.0
0,20210215,63.0
0,20210215,70.0
0,20210215,44.0
0,20210215,31.0
0,20210215,26.0
0,20210222,63.0
0,20210222,70.0
0,20210222,44.0
0,20210222,31.0
0,20210222,26.0
0,20210301,63.0
0,20210301,70.0
0,20210301,44.0
0,20210301,31.0
0,20210301,26.0
0,20210308,63.0
0,20210308,70.0
0,20210308,44.0
0,20210308,31.0
0,20210308,26.0
0,20210315,63.0
0,20210315,70.0
0,20210315,44.0
0,20210315,31.0
0,20210315,26.0
0,20210322,63.0
0,20210322,70.0
0,20210322,44.0
0,20210322,31.0
0,20210322,26.0
0,20210401,63.0
0,20210401,70.0
0,20210401,44.0
0,20210401,31.0
0,20210401,26.0
0,20210408,63.0
0,20210408,70.0
0,20210408,44.0
0,20210408,31.0
0,20210408,26.0
0,20210415,63.0
0,20210415,70.0
0,20210415,44.0
0,20210415,31.0
0,20210415,26.0
0,20210422,63.0
0,20210422,70.0
0,20210422,44.0
0,20210422,31.0
0,20210422,26.0
0,20210501,63.0
0,20210501,70.0
0,20210501,44.0
0,20210501,31.0
0,20210501,26.0
0,20210508,63.0
0,20210508,70.0
0,20210508,44.0
0,20210508,31.0
0,20210508,26.0
0,20210515,63.0
0,20210515,70.0
0,20210515,44.0
0,20210515,31.0
0,20210515,26.0
0,20210522,63.0
0,20210522,70.0
0,20210522,44.0
0,20210522,31.0
0,20210522,57.0
0,20210522,26.0
0,20210522,21.0
0,20210601,63.0
0,20210601,70.0
0,20210601,44.0
0,20210601,31.0
0,20210601,26.0
0,20210601,21.0
0,20210608,63.0
0,20210608,70.0
0,20210608,40.0
0,20210608,44.0
0,20210608,31.0
0,20210608,26.0
0,20210615,63.0
0,20210615,70.0
0,20210615,40.0
0,20210615,44.0
0,20210615,31.0
0,20210615,26.0
0,20210615,11.0
0,20210615,15.0
0,20210622,63.0
0,20210622,70.0
0,20210622,40.0
0,20210622,44.0
0,20210622,31.0
0,20210622,45.0
0,20210622,29.0
0,20210622,37.0
0,20210622,39.0
0,20210622,26.0
0,20210622,9.0
0,20210622,19.0
0,20210622,11.0
0,20210622,15.0
0,20210701,70.0
0,20210701,40.0
0,20210701,44.0
0,20210701,31.0
0,20210701,45.0
0,20210701,29.0
0,20210701,37.0
0,20210701,39.0
0,20210701,9.0
0,20210701,19.0
0,20210701,11.0
0,20210701,15.0
0,20210708,70.0
0,20210708,40.0
0,20210708,44.0
0,20210708,31.0
0,20210708,45.0
0,20210708,29.0
0,20210708,37.0
0,20210708,39.0
0,20210708,9.0
0,20210708,19.0
0,20210708,11.0
0,20210708,15.0
0,20210715,70.0
0,20210715,40.0
0,20210715,44.0
0,20210715,31.0
0,20210715,45.0
0,20210715,29.0
0,20210715,37.0
0,20210715,39.0
0,20210715,9.0
0,20210715,19.0
0,20210715,11.0
0,20210715,15.0
0,20210722,70.0
0,20210722,40.0
0,20210722,44.0
0,20210722,31.0
0,20210722,45.0
0,20210722,29.0
0,20210722,37.0
0,20210722,39.0
0,20210722,9.0
0,20210722,19.0
0,20210722,11.0
0,20210722,15.0
0,20210801,73.0
0,20210801,70.0
0,20210801,40.0
0,20210801,44.0
0,20210801,31.0
0,20210801,45.0
0,20210801,29.0
0,20210801,37.0
0,20210801,39.0
0,20210801,49.0
0,20210801,9.0
0,20210801,19.0
0,20210801,11.0
0,20210801,15.0
0,20210808,70.0
0,20210808,40.0
0,20210808,44.0
0,20210808,31.0
0,20210808,45.0
0,20210808,38.0
0,20210808,29.0
0,20210808,37.0
0,20210808,39.0
0,20210808,9.0
0,20210808,19.0
0,20210808,11.0
0,20210808,15.0
0,20210815,70.0
0,20210815,40.0
0,20210815,44.0
0,20210815,31.0
0,20210815,45.0
0,20210815,29.0
0,20210815,37.0
0,20210815,39.0
0,20210815,9.0
0,20210815,19.0
0,20210815,11.0
0,20210815,15.0
0,20210822,70.0
0,20210822,40.0
0,20210822,44.0
0,20210822,31.0
0,20210822,45.0
0,20210822,29.0
0,20210822,37.0
0,20210822,39.0
