,date,provinceNo,PM25,O3,CO,cluster
142,15/8/2020,76,12.69444444,78,80,1
143,22/8/2020,0,7.75,50,160,1
144,22/8/2020,1,12.82978723,55,180,0
145,22/8/2020,2,4.473684211,71,140,1
146,22/8/2020,3,4.333333333,53,160,1
147,22/8/2020,4,4.875,55,190,1
148,22/8/2020,5,3.375,29,80,1
149,22/8/2020,6,4.606382979,86,160,0
150,22/8/2020,7,15.91666667,55,160,2
151,22/8/2020,10,14,61,140,2
152,22/8/2020,13,16.16666667,60,130,2
153,22/8/2020,20,6.791666667,55,150,1
154,22/8/2020,24,5.958333333,75,200,0
155,22/8/2020,27,11,89,140,0
156,22/8/2020,33,11.04166667,45,100,2
157,22/8/2020,34,10.70833333,78,200,0
158,22/8/2020,35,11.91666667,75,180,0
159,22/8/2020,36,11.625,63,130,2
160,22/8/2020,41,15.71428571,74,160,0
161,22/8/2020,43,16.75,54,120,2
162,22/8/2020,47,18.58333333,66,150,2
163,22/8/2020,49,6.25,45,100,1
164,22/8/2020,52,19.85,50,80,2
165,22/8/2020,53,13.375,80,200,0
166,22/8/2020,54,13.5210084,64,100,2
167,22/8/2020,56,7.625,40,80,1
168,22/8/2020,57,5.916666667,50,90,1
169,22/8/2020,63,11.16666667,64,120,2
170,22/8/2020,64,12.3,54,120,2
171,22/8/2020,69,16.25,58,100,2
172,22/8/2020,70,6.25,36,100,1
173,22/8/2020,71,9.541666667,110,180,0
174,22/8/2020,72,19.33333333,102,160,0
175,22/8/2020,73,14.54166667,34,120,2
176,22/8/2020,74,14.0625,102,200,0
177,22/8/2020,75,16.1560559,74,170,0
178,22/8/2020,76,13.23188406,63,120,2
179,1/9/2020,0,13.70833333,35,140,0
180,1/9/2020,1,15.9375,80,220,2
181,1/9/2020,2,15.175,38,180,0
182,1/9/2020,3,16.95833333,49,170,0
183,1/9/2020,4,18.41666667,69,220,1
184,1/9/2020,5,5.666666667,65,160,0
185,1/9/2020,6,13.77659574,89,210,2
186,1/9/2020,7,22.54166667,83,200,1
187,1/9/2020,10,21.41666667,94,210,1
188,1/9/2020,13,13.875,88,160,0
189,1/9/2020,20,13.95833333,79,170,0
190,1/9/2020,24,17.75,82,190,1
191,1/9/2020,27,9.375,77,140,0
192,1/9/2020,33,15.16666667,103,250,2
193,1/9/2020,34,10.02083333,74,390,2
194,1/9/2020,35,14,83,440,2
195,1/9/2020,36,14.16666667,102,290,2
196,1/9/2020,41,13.34234234,50,230,0
197,1/9/2020,43,13.14583333,68,160,0
198,1/9/2020,47,17.4375,95,280,2
199,1/9/2020,49,16.20833333,100,270,2
200,1/9/2020,52,20.375,61,90,1
201,1/9/2020,53,15.33333333,60,120,0
202,1/9/2020,54,10.21666667,59,80,0
203,1/9/2020,56,12.66666667,72,150,0
204,1/9/2020,57,11.70833333,80,160,0
205,1/9/2020,63,11.375,75,110,0
206,1/9/2020,64,11.20588235,67,80,0
207,1/9/2020,69,13.79166667,98,80,0
208,1/9/2020,71,11.66666667,126,200,2
209,1/9/2020,72,23.5,75,140,1
210,1/9/2020,73,11.54166667,51,80,0
211,1/9/2020,74,13.60416667,90,210,2
212,1/9/2020,75,14.14538153,69,310,2
213,1/9/2020,76,15.77777778,65,90,0
214,8/9/2020,0,8.717391304,70,120,1
215,8/9/2020,1,13.34042553,65,170,0
216,8/9/2020,2,8.56,54,120,1
217,8/9/2020,3,7.208333333,70,120,1
218,8/9/2020,4,9.291666667,55,120,1
219,8/9/2020,5,5.434782609,37,80,1
220,8/9/2020,6,7.258064516,77,130,1
221,8/9/2020,7,20.04166667,60,130,0
222,8/9/2020,10,14.17391304,93,160,0
223,8/9/2020,13,13.66666667,80,120,0
224,8/9/2020,20,8.136363636,65,160,1
225,8/9/2020,24,7.347826087,86,200,2
226,8/9/2020,27,9.565217391,74,170,0
227,8/9/2020,33,7.130434783,58,110,1
228,8/9/2020,34,8.617021277,86,220,2
229,8/9/2020,35,8.47826087,92,290,2
230,8/9/2020,36,5.434782609,95,260,2
231,8/9/2020,41,12.15384615,78,110,0
232,8/9/2020,43,13.54347826,65,90,0
233,8/9/2020,47,11.4893617,79,140,0
234,8/9/2020,49,5.666666667,53,110,1
235,8/9/2020,52,16.90909091,60,70,0
236,8/9/2020,53,11.47826087,78,120,0
237,8/9/2020,54,8.170940171,70,80,1
238,8/9/2020,56,6.217391304,79,120,1
239,8/9/2020,57,4,50,110,1
240,8/9/2020,63,8,55,100,1
241,8/9/2020,64,7.848484848,70,110,1
242,8/9/2020,69,11.08333333,93,100,0
243,8/9/2020,70,4.541666667,60,60,1
244,8/9/2020,71,11.86956522,101,170,0
245,8/9/2020,72,23.04166667,104,170,0
246,8/9/2020,73,10.13043478,62,100,1
247,8/9/2020,74,13.08333333,78,160,0
248,8/9/2020,75,12.2469697,81,150,0
249,8/9/2020,76,14.23943662,81,80,0
250,15/9/2020,0,12.97916667,99,220,0
251,15/9/2020,1,13.79166667,57,190,1
252,15/9/2020,2,8.625,58,150,1
253,15/9/2020,3,13.625,78,180,0
254,15/9/2020,4,11.54166667,75,200,0
255,15/9/2020,5,5.125,26,80,1
256,15/9/2020,6,10.35789474,104,230,0
257,15/9/2020,7,19.41666667,47,150,2
258,15/9/2020,10,19.5,96,200,2
259,15/9/2020,13,15.91666667,88,160,2
260,15/9/2020,20,10.54166667,85,200,0
261,15/9/2020,24,13.75,120,360,0
262,15/9/2020,27,7.708333333,64,150,1
263,15/9/2020,33,21.75,80,210,2
264,15/9/2020,34,8.875,60,330,0
265,15/9/2020,35,9.75,70,400,0
266,15/9/2020,36,12.83333333,72,280,0
267,15/9/2020,41,12.31531532,42,140,1
268,15/9/2020,43,11.25,53,120,1
269,15/9/2020,47,21.47916667,71,120,2
270,15/9/2020,49,23.4,79,190,2
271,15/9/2020,52,19.47368421,59,70,2
272,15/9/2020,53,13.66666667,68,100,1
273,15/9/2020,54,7.808333333,61,80,1
274,15/9/2020,57,7.416666667,60,150,1
275,15/9/2020,63,4.916666667,52,80,1
276,15/9/2020,64,7.285714286,53,100,1
277,15/9/2020,69,11.5,80,80,1
278,15/9/2020,71,5.923076923,118,150,0
279,15/9/2020,72,22.41666667,87,140,2
280,15/9/2020,73,9.583333333,46,80,1
281,15/9/2020,74,10.83333333,93,210,0
282,15/9/2020,75,13.36514196,54,220,1
283,15/9/2020,76,9.222222222,56,100,1
284,22/9/2020,0,8.25,48,280,0
285,22/9/2020,1,10.69565217,122,630,1
286,22/9/2020,2,6.531914894,36,260,0
287,22/9/2020,3,6.625,53,240,0
288,22/9/2020,4,7.625,40,350,0
289,22/9/2020,5,3.708333333,27,170,0
290,22/9/2020,6,7.168674699,58,230,0
291,22/9/2020,7,15.16666667,72,390,1
292,22/9/2020,10,13.17391304,92,470,1
293,22/9/2020,13,14.95833333,92,560,1
294,22/9/2020,20,5.291666667,53,270,0
295,22/9/2020,24,8.125,46,340,0
296,22/9/2020,27,8.416666667,48,340,0
297,22/9/2020,33,13.79166667,53,310,1
298,22/9/2020,34,12.8125,34,3200,2
299,22/9/2020,35,15.08333333,77,2000,2
300,22/9/2020,36,12.43478261,122,1010,1
301,22/9/2020,41,15.625,34,950,1
302,22/9/2020,43,14.85106383,33,480,0
303,22/9/2020,47,18.54166667,69,460,1
304,22/9/2020,52,21.27272727,36,240,1
305,22/9/2020,53,9.916666667,56,240,0
306,22/9/2020,54,10.52678571,57,290,0
307,22/9/2020,56,8.5,38,200,0
308,22/9/2020,57,6.25,36,240,0
309,22/9/2020,63,7.130434783,35,250,0
310,22/9/2020,64,8.235294118,40,260,0
311,22/9/2020,69,17.95833333,64,260,1
312,22/9/2020,71,6.045454545,90,450,0
313,22/9/2020,72,23,79,290,1
314,22/9/2020,73,12.79166667,44,250,0
315,22/9/2020,74,11.3125,32,280,0
316,22/9/2020,75,17.74542562,16,2010,2
317,22/9/2020,76,11.27777778,52,370,0
318,1/10/2020,0,7.644444444,34,450,1
319,1/10/2020,1,10.77272727,59,550,0
320,1/10/2020,2,7.239130435,18,450,1
321,1/10/2020,3,6.458333333,35,360,1
322,1/10/2020,4,6.708333333,22,410,1
323,1/10/2020,5,3.045454545,7,150,1
324,1/10/2020,6,4.656716418,23,240,1
325,1/10/2020,7,16.25,32,280,0
326,1/10/2020,10,13.08695652,42,760,0
327,1/10/2020,13,12.58333333,38,420,0
328,1/10/2020,20,5,29,470,1
329,1/10/2020,24,14.33333333,42,720,0
330,1/10/2020,27,6.5,42,360,1
331,1/10/2020,33,9.909090909,28,380,1
332,1/10/2020,34,7.934782609,15,1950,2
333,1/10/2020,35,6,17,1000,2
334,1/10/2020,36,8.090909091,21,290,1
335,1/10/2020,41,15.31481481,37,560,0
336,1/10/2020,43,18.57777778,31,320,0
337,1/10/2020,47,13.41304348,18,270,1
338,1/10/2020,49,4.625,31,320,1
339,1/10/2020,52,16.6875,24,180,0
340,1/10/2020,53,15.57894737,15,710,2
341,1/10/2020,54,8.418181818,33,180,1
342,1/10/2020,56,6.818181818,22,180,1
343,1/10/2020,57,6,24,230,1
344,1/10/2020,63,10.70833333,33,290,1
345,1/10/2020,64,9.28125,36,250,1
346,1/10/2020,69,10.60869565,46,320,0
347,1/10/2020,70,11,29,180,1
348,1/10/2020,71,12.22727273,69,400,0
349,1/10/2020,72,24.75,67,440,0
350,1/10/2020,73,10.63636364,26,200,1
351,1/10/2020,74,13.675,51,330,0
352,1/10/2020,75,13.97169811,27,1160,2
353,1/10/2020,76,6.855072464,30,270,1
354,8/10/2020,0,11.85,62,240,1
355,8/10/2020,1,12.82608696,70,340,1
356,8/10/2020,2,11.13043478,57,250,1
357,8/10/2020,3,12.95652174,60,250,1
358,8/10/2020,4,11.82608696,54,270,1
359,8/10/2020,5,7.652173913,55,240,1
360,8/10/2020,6,7.797101449,75,290,1
361,8/10/2020,7,20.82608696,71,350,1
362,8/10/2020,10,17.91304348,69,340,1
363,8/10/2020,13,16.30434783,59,360,1
364,8/10/2020,20,14.56521739,40,350,1
365,8/10/2020,24,15.56521739,60,310,1
366,8/10/2020,27,4.956521739,34,250,0
367,8/10/2020,33,14.13043478,57,530,1
368,8/10/2020,34,12.10869565,33,960,2
369,8/10/2020,35,11.95652174,44,620,1
370,8/10/2020,36,11.91304348,52,400,1
371,8/10/2020,41,17.56521739,45,690,1
372,8/10/2020,43,19.56521739,26,1310,2
373,8/10/2020,47,20.95652174,42,330,1
374,8/10/2020,49,8.47826087,52,520,1
375,8/10/2020,52,23.05,34,390,1
376,8/10/2020,53,12.30434783,55,370,1
377,8/10/2020,54,13.48148148,76,380,1
378,8/10/2020,56,8.913043478,54,440,1
379,8/10/2020,63,5.869565217,20,170,0
380,8/10/2020,64,6,33,180,0
381,8/10/2020,69,12.34782609,34,180,0
382,8/10/2020,71,4.260869565,27,160,0
383,8/10/2020,72,22.73913043,26,180,1
384,8/10/2020,73,8.391304348,33,160,0
385,8/10/2020,74,3.173913043,34,190,0
386,8/10/2020,75,16.85931255,25,1230,2
387,8/10/2020,76,12.80882353,64,420,1
388,15/10/2020,0,12.97916667,51,220,1
389,15/10/2020,1,13.45652174,98,970,0
390,15/10/2020,2,15.12765957,35,220,1
391,15/10/2020,3,15.40909091,51,230,1
392,15/10/2020,4,16.5,33,300,1
393,15/10/2020,5,9.5,32,270,1
394,15/10/2020,6,11.42424242,39,280,1
395,15/10/2020,7,24.79166667,73,620,2
396,15/10/2020,10,21.95454545,89,470,2
397,15/10/2020,13,20.5,76,380,2
398,15/10/2020,20,9.954545455,30,540,1
399,15/10/2020,24,14.54166667,50,260,1
400,15/10/2020,27,27.58333333,16,370,2
401,15/10/2020,33,14.59090909,60,460,1
402,15/10/2020,34,12.19565217,189,2300,0
403,15/10/2020,35,12.54545455,182,1410,0
404,15/10/2020,36,11.14285714,124,360,1
405,15/10/2020,41,19.45,122,1070,0
406,15/10/2020,43,17.93333333,73,420,2
407,15/10/2020,47,30.79166667,133,640,2
408,15/10/2020,49,9.166666667,65,400,1
409,15/10/2020,52,23.55,43,250,2
410,15/10/2020,53,18.08695652,143,560,0
411,15/10/2020,54,12.43165468,42,170,1
412,15/10/2020,56,8.5,37,180,1
413,15/10/2020,63,5.666666667,39,180,1
414,15/10/2020,64,6.151515152,37,180,1
