,date,province,PM25,O3,CO,cluster
85,2020-08-01,สิงห์บุรี,4.0,52,80,Best Air
86,2020-08-01,สุโขทัย,3.0,50,80,Best Air
87,2020-08-01,สระบุรี,13.770833333333334,59,80,Best Air
88,2020-08-01,อุทัยธานี,5.541666666666667,47,90,Best Air
89,2020-08-01,ตราด,14.666666666666666,52,80,Best Air
90,2020-08-01,ปราจีนบุรี,14.041666666666666,77,140,Worst Air
91,2020-08-01,ระยอง,7.091666666666667,59,80,Best Air
92,2020-08-01,กาญจนบุรี,5.791666666666667,41,80,Best Air
93,2020-08-01,ตาก,3.6666666666666665,43,80,Best Air
94,2020-08-01,ตรัง,5.333333333333333,98,110,Worst Air
95,2020-08-01,นครศรีธรรมราช,5.09375,45,100,Best Air
96,2020-08-01,ภูเก็ต,12.125,58,80,Best Air
97,2020-08-01,ระนอง,4.5,46,80,Best Air
98,2020-08-01,สตูล,4.875,117,200,Worst Air
99,2020-08-01,สงขลา,15.916666666666666,94,150,Worst Air
100,2020-08-01,สุราษฎร์ธานี,8.333333333333334,37,80,Best Air
101,2020-08-01,ยะลา,7.833333333333333,78,160,Worst Air
102,2020-08-01,กรุงเทพฯ,10.44671201814059,69,110,Best Air
103,2020-08-01,ชลบุรี,9.083333333333334,62,80,Best Air
104,2020-08-08,เชียงราย,7.125,66,120,Best Air
105,2020-08-08,เชียงใหม่,11.208333333333334,49,90,Best Air
106,2020-08-08,น่าน,7.8108108108108105,50,110,Best Air
107,2020-08-08,พะเยา,6.125,65,120,Best Air
108,2020-08-08,แพร่,7.708333333333333,50,110,Best Air
109,2020-08-08,แม่ฮ่องสอน,2.4166666666666665,39,80,Best Air
110,2020-08-08,ลำปาง,5.7368421052631575,59,100,Best Air
111,2020-08-08,ลำพูน,19.375,43,80,Best Air
112,2020-08-08,อุตรดิตถ์,25.0,58,120,Moderate Air
113,2020-08-08,กาฬสินธ์ุ,30.0,78,180,Moderate Air
114,2020-08-08,ขอนแก่น,14.0,68,140,Best Air
115,2020-08-08,ชัยภูมิ,16.0,59,110,Best Air
116,2020-08-08,นครพนม,22.0,66,170,Moderate Air
117,2020-08-08,นครราชสีมา,14.25,52,100,Best Air
118,2020-08-08,บุรีรัมย์,25.0,72,130,Moderate Air
119,2020-08-08,ร้อยเอ็ด,24.0,69,150,Moderate Air
120,2020-08-08,เลย,7.833333333333333,46,120,Best Air
121,2020-08-08,สกลนคร,30.0,73,170,Moderate Air
122,2020-08-08,หนองคาย,9.708333333333334,69,170,Worst Air
123,2020-08-08,อุดรธานี,32.0,78,170,Moderate Air
124,2020-08-08,อุบลราชธานี,6.541666666666667,97,170,Worst Air
125,2020-08-08,กำแพงเพชร,32.0,54,120,Moderate Air
126,2020-08-08,นครนายก,45.0,88,220,Moderate Air
127,2020-08-08,นครสวรรค์,13.916666666666666,51,120,Best Air
128,2020-08-08,นนทบุรี,10.625,84,180,Worst Air
129,2020-08-08,ปทุมธานี,10.875,86,180,Worst Air
130,2020-08-08,พระนครศรีอยุธยา,11.291666666666666,80,150,Worst Air
131,2020-08-08,พิจิตร,14.0,52,80,Best Air
132,2020-08-08,พิษณุโลก,19.0,55,120,Best Air
133,2020-08-08,เพชรบูรณ์,15.0,44,120,Best Air
134,2020-08-08,ลพบุรี,18.0,67,110,Best Air
135,2020-08-08,สมุทรปราการ,14.333333333333334,71,100,Best Air
136,2020-08-08,สมุทรสาคร,16.0,53,90,Best Air
137,2020-08-08,สิงห์บุรี,10.0,56,100,Best Air
138,2020-08-08,สุโขทัย,26.0,59,120,Moderate Air
139,2020-08-08,สระบุรี,17.770833333333332,80,190,Worst Air
140,2020-08-08,อุทัยธานี,15.375,48,90,Best Air
141,2020-08-08,ตราด,20.75,73,120,Moderate Air
142,2020-08-08,ปราจีนบุรี,12.791666666666666,86,180,Worst Air
143,2020-08-08,ระยอง,8.833333333333334,65,90,Best Air
144,2020-08-08,กาญจนบุรี,9.75,59,100,Best Air
145,2020-08-08,ตาก,3.0,52,110,Best Air
146,2020-08-08,ตรัง,12.958333333333334,69,110,Best Air
147,2020-08-08,นครศรีธรรมราช,12.137931034482758,55,130,Best Air
148,2020-08-08,ภูเก็ต,16.416666666666668,46,80,Best Air
149,2020-08-08,ระนอง,5.590909090909091,51,80,Best Air
150,2020-08-08,สตูล,20.958333333333332,90,140,Moderate Air
151,2020-08-08,สงขลา,32.375,88,150,Moderate Air
152,2020-08-08,สุราษฎร์ธานี,11.958333333333334,51,100,Best Air
153,2020-08-08,ยะลา,17.3125,103,210,Worst Air
154,2020-08-08,กรุงเทพฯ,17.325824617860015,74,130,Moderate Air
155,2020-08-08,ชลบุรี,9.402777777777779,66,90,Best Air
156,2020-08-15,เชียงราย,8.56,61,120,Best Air
157,2020-08-15,เชียงใหม่,9.9375,47,80,Best Air
158,2020-08-15,น่าน,5.933333333333334,50,120,Best Air
