,date,province,PM25,O3,CO,cluster
106,2020-08-08,กรุงเทพฯ,17.325824617860015,74,130,2
107,2020-08-08,ชลบุรี,9.402777777777779,66,90,1
108,2020-08-15,เชียงราย,8.56,61,120,0
109,2020-08-15,เชียงใหม่,9.9375,47,80,0
110,2020-08-15,น่าน,5.933333333333334,50,120,0
111,2020-08-15,พะเยา,7.0,69,100,0
112,2020-08-15,แพร่,9.916666666666666,52,140,0
113,2020-08-15,แม่ฮ่องสอน,4.458333333333333,33,80,0
114,2020-08-15,ลำปาง,6.688172043010753,69,130,0
115,2020-08-15,ลำพูน,16.958333333333332,44,80,1
116,2020-08-15,ขอนแก่น,13.041666666666666,60,130,1
117,2020-08-15,นครราชสีมา,12.625,69,120,1
118,2020-08-15,เลย,8.318181818181818,57,120,0
119,2020-08-15,หนองคาย,5.0,84,250,2
120,2020-08-15,อุบลราชธานี,7.333333333333333,56,120,0
121,2020-08-15,นครสวรรค์,12.708333333333334,64,140,1
122,2020-08-15,นนทบุรี,13.703703703703704,80,160,1
123,2020-08-15,ปทุมธานี,18.708333333333332,90,210,2
124,2020-08-15,พระนครศรีอยุธยา,10.541666666666666,96,290,2
125,2020-08-15,สมุทรปราการ,16.975,83,90,1
126,2020-08-15,สมุทรสาคร,14.76595744680851,58,90,1
127,2020-08-15,สระบุรี,15.145833333333334,72,140,1
128,2020-08-15,อุทัยธานี,11.541666666666666,59,100,1
129,2020-08-15,ตราด,21.75,61,70,1
130,2020-08-15,ปราจีนบุรี,10.833333333333334,71,100,1
131,2020-08-15,ระยอง,10.51923076923077,74,80,1
132,2020-08-15,กาญจนบุรี,10.458333333333334,60,90,0
133,2020-08-15,ตาก,6.333333333333333,57,160,0
134,2020-08-15,นครศรีธรรมราช,8.2,68,180,0
135,2020-08-15,ภูเก็ต,15.5,106,200,2
136,2020-08-15,ระนอง,4.363636363636363,42,100,0
137,2020-08-15,สตูล,8.541666666666666,117,240,2
138,2020-08-15,สงขลา,20.75,109,270,2
139,2020-08-15,สุราษฎร์ธานี,14.583333333333334,61,140,1
140,2020-08-15,ยะลา,12.354166666666666,63,170,1
141,2020-08-15,กรุงเทพฯ,17.07795275590551,75,120,1
142,2020-08-15,ชลบุรี,12.694444444444445,78,80,1
143,2020-08-22,เชียงราย,7.75,50,160,1
144,2020-08-22,เชียงใหม่,12.829787234042554,55,180,0
145,2020-08-22,น่าน,4.473684210526316,71,140,1
146,2020-08-22,พะเยา,4.333333333333333,53,160,1
147,2020-08-22,แพร่,4.875,55,190,1
148,2020-08-22,แม่ฮ่องสอน,3.375,29,80,1
149,2020-08-22,ลำปาง,4.6063829787234045,86,160,0
150,2020-08-22,ลำพูน,15.916666666666666,55,160,2
151,2020-08-22,ขอนแก่น,14.0,61,140,2
152,2020-08-22,นครราชสีมา,16.166666666666668,60,130,2
153,2020-08-22,เลย,6.791666666666667,55,150,1
154,2020-08-22,หนองคาย,5.958333333333333,75,200,0
155,2020-08-22,อุบลราชธานี,11.0,89,140,0
156,2020-08-22,นครสวรรค์,11.041666666666666,45,100,2
157,2020-08-22,นนทบุรี,10.708333333333334,78,200,0
158,2020-08-22,ปทุมธานี,11.916666666666666,75,180,0
159,2020-08-22,พระนครศรีอยุธยา,11.625,63,130,2
160,2020-08-22,สมุทรปราการ,15.714285714285714,74,160,0
161,2020-08-22,สมุทรสาคร,16.75,54,120,2
162,2020-08-22,สระบุรี,18.583333333333332,66,150,2
163,2020-08-22,อุทัยธานี,6.25,45,100,1
164,2020-08-22,ตราด,19.85,50,80,2
165,2020-08-22,ปราจีนบุรี,13.375,80,200,0
166,2020-08-22,ระยอง,13.521008403361344,64,100,2
167,2020-08-22,กาญจนบุรี,7.625,40,80,1
168,2020-08-22,ตาก,5.916666666666667,50,90,1
169,2020-08-22,ตรัง,11.166666666666666,64,120,2
170,2020-08-22,นครศรีธรรมราช,12.3,54,120,2
171,2020-08-22,ภูเก็ต,16.25,58,100,2
172,2020-08-22,ระนอง,6.25,36,100,1
173,2020-08-22,สตูล,9.541666666666666,110,180,0
174,2020-08-22,สงขลา,19.333333333333332,102,160,0
175,2020-08-22,สุราษฎร์ธานี,14.541666666666666,34,120,2
176,2020-08-22,ยะลา,14.0625,102,200,0
177,2020-08-22,กรุงเทพฯ,16.15605590062112,74,170,0
178,2020-08-22,ชลบุรี,13.231884057971014,63,120,2
179,2020-09-01,เชียงราย,13.708333333333334,35,140,0
180,2020-09-01,เชียงใหม่,15.9375,80,220,2
181,2020-09-01,น่าน,15.175,38,180,0
182,2020-09-01,พะเยา,16.958333333333332,49,170,0
183,2020-09-01,แพร่,18.416666666666668,69,220,1
184,2020-09-01,แม่ฮ่องสอน,5.666666666666667,65,160,0
185,2020-09-01,ลำปาง,13.77659574468085,89,210,2
186,2020-09-01,ลำพูน,22.541666666666668,83,200,1
187,2020-09-01,ขอนแก่น,21.416666666666668,94,210,1
188,2020-09-01,นครราชสีมา,13.875,88,160,0
189,2020-09-01,เลย,13.958333333333334,79,170,0
190,2020-09-01,หนองคาย,17.75,82,190,1
191,2020-09-01,อุบลราชธานี,9.375,77,140,0
192,2020-09-01,นครสวรรค์,15.166666666666666,103,250,2
193,2020-09-01,นนทบุรี,10.020833333333334,74,390,2
194,2020-09-01,ปทุมธานี,14.0,83,440,2
195,2020-09-01,พระนครศรีอยุธยา,14.166666666666666,102,290,2
196,2020-09-01,สมุทรปราการ,13.342342342342342,50,230,0
197,2020-09-01,สมุทรสาคร,13.145833333333334,68,160,0
198,2020-09-01,สระบุรี,17.4375,95,280,2
199,2020-09-01,อุทัยธานี,16.208333333333332,100,270,2
200,2020-09-01,ตราด,20.375,61,90,1
201,2020-09-01,ปราจีนบุรี,15.333333333333334,60,120,0
202,2020-09-01,ระยอง,10.216666666666667,59,80,0
203,2020-09-01,กาญจนบุรี,12.666666666666666,72,150,0
