,date,provinceNo,PM25
318,20210115,44,60
319,20210115,31,40
320,20210115,26,38
321,20210122,63,29
322,20210122,70,27
323,20210122,44,105
324,20210122,31,46
325,20210122,26,30
326,20210201,63,8
327,20210201,70,27
328,20210201,44,34
329,20210201,31,35
330,20210201,26,8
331,20210208,63,4
332,20210208,70,4
333,20210208,44,60
334,20210208,31,41
335,20210208,45,34
336,20210208,26,6
337,20210215,63,17
338,20210215,70,13
339,20210215,44,52
340,20210215,31,42
341,20210215,26,37
342,20210222,63,12
343,20210222,70,23
344,20210222,44,238
345,20210222,31,42
346,20210222,26,40
347,20210301,63,15
348,20210301,70,29
349,20210301,44,85
350,20210301,31,30
351,20210301,26,76
352,20210308,63,5
353,20210308,70,4
354,20210308,44,60
355,20210308,31,35
356,20210308,26,17
357,20210315,63,2
358,20210315,70,4
359,20210315,44,44
360,20210315,31,13
361,20210315,26,37
362,20210322,63,2
363,20210322,70,2
364,20210322,44,12
365,20210322,31,6
366,20210322,26,21
367,20210401,63,2
368,20210401,70,2
369,20210401,44,64
370,20210401,31,5
371,20210401,26,98
372,20210408,63,6
373,20210408,70,4
374,20210408,44,38
375,20210408,31,56
376,20210408,26,5
377,20210415,63,1
378,20210415,70,2
379,20210415,44,44
380,20210415,31,11
381,20210415,26,13
382,20210422,63,1
383,20210422,70,5
384,20210422,44,18
385,20210422,31,10
386,20210422,26,31
387,20210501,63,8
388,20210501,70,4
389,20210501,44,60
390,20210501,31,12
391,20210501,26,21
392,20210508,63,2
393,20210508,70,0
394,20210508,44,42
395,20210508,31,83
396,20210508,26,11
397,20210515,63,5
398,20210515,70,5
399,20210515,44,32
400,20210515,31,8
401,20210515,26,23
402,20210522,63,1
403,20210522,70,2
404,20210522,44,2
405,20210522,31,27
406,20210522,57,1
407,20210522,26,6
408,20210522,21,22
409,20210601,63,17
410,20210601,70,0
411,20210601,44,8
412,20210601,31,8
413,20210601,26,1
414,20210601,21,15
415,20210608,63,3
416,20210608,70,2
417,20210608,40,3
418,20210608,44,0
419,20210608,31,3
420,20210608,26,9
421,20210615,63,6
422,20210615,70,0
423,20210615,40,21
424,20210615,44,4
425,20210615,31,2
426,20210615,26,4
427,20210615,11,18
428,20210615,15,2
429,20210622,63,2
430,20210622,70,0
431,20210622,40,1
432,20210622,44,0
433,20210622,31,14
434,20210622,45,2
435,20210622,29,5
436,20210622,37,3
437,20210622,39,2
438,20210622,26,2
439,20210622,9,5
440,20210622,19,11
441,20210622,11,3
442,20210622,15,9
443,20210701,70,1
444,20210701,40,6
445,20210701,44,6
446,20210701,31,24
447,20210701,45,3
448,20210701,29,2
449,20210701,37,2
450,20210701,39,8
451,20210701,9,8
452,20210701,19,3
453,20210701,11,9
454,20210701,15,2
455,20210708,70,0
456,20210708,40,6
457,20210708,44,4
458,20210708,31,41
459,20210708,45,5
460,20210708,29,7
461,20210708,37,4
462,20210708,39,2
463,20210708,9,15
464,20210708,19,15
465,20210708,11,20
466,20210708,15,7
467,20210715,70,0
468,20210715,40,15
469,20210715,44,20
470,20210715,31,4
471,20210715,45,12
472,20210715,29,14
473,20210715,37,9
474,20210715,39,24
475,20210715,9,11
476,20210715,19,7
477,20210715,11,8
478,20210715,15,6
479,20210722,70,2
480,20210722,40,11
481,20210722,44,2
482,20210722,31,4
483,20210722,45,9
484,20210722,29,4
485,20210722,37,4
486,20210722,39,12
487,20210722,9,3
488,20210722,19,4
489,20210722,11,5
490,20210722,15,2
491,20210801,73,2
492,20210801,70,2
493,20210801,40,3
494,20210801,44,2
495,20210801,31,20
496,20210801,45,4
497,20210801,29,3
498,20210801,37,2
499,20210801,39,2
500,20210801,49,2
501,20210801,9,2
502,20210801,19,2
503,20210801,11,2
504,20210801,15,5
