,date,provinceNo,co
265,20200901,69.0,80
266,20200901,73.0,80
267,20200901,70.0,70
268,20200901,56.0,150
269,20200901,43.0,160
270,20200901,75.0,310
271,20200901,41.0,230
272,20200901,34.0,390
273,20200901,35.0,440
274,20200901,36.0,290
275,20200901,47.0,280
276,20200901,40.0,230
277,20200901,44.0,200
278,20200901,53.0,120
279,20200901,31.0,170
280,20200901,0.0,140
281,20200901,5.0,160
282,20200901,3.0,170
283,20200901,2.0,180
284,20200901,1.0,220
285,20200901,7.0,200
286,20200901,6.0,210
287,20200901,4.0,220
288,20200901,8.0,210
289,20200901,45.0,190
290,20200901,57.0,160
291,20200901,38.0,190
292,20200901,29.0,180
293,20200901,37.0,140
294,20200901,39.0,200
295,20200901,33.0,250
296,20200901,49.0,270
297,20200901,24.0,190
298,20200901,20.0,170
299,20200901,26.0,190
300,20200901,12.0,120
301,20200901,21.0,150
302,20200901,10.0,210
303,20200901,9.0,180
304,20200901,19.0,200
305,20200901,11.0,180
306,20200901,27.0,140
307,20200901,15.0,170
308,20200901,13.0,160
309,20200901,76.0,90
310,20200901,54.0,80
311,20200901,52.0,90
312,20200908,74.0,160
313,20200908,71.0,170
314,20200908,72.0,170
315,20200908,63.0,100
316,20200908,64.0,110
317,20200908,69.0,100
318,20200908,73.0,100
319,20200908,70.0,60
320,20200908,56.0,120
321,20200908,43.0,90
322,20200908,75.0,150
323,20200908,41.0,110
324,20200908,34.0,220
325,20200908,35.0,290
326,20200908,36.0,260
327,20200908,47.0,140
328,20200908,40.0,180
329,20200908,44.0,100
330,20200908,53.0,120
331,20200908,31.0,140
332,20200908,0.0,120
333,20200908,5.0,80
334,20200908,3.0,120
335,20200908,2.0,120
336,20200908,1.0,170
337,20200908,7.0,130
338,20200908,6.0,130
339,20200908,4.0,120
340,20200908,8.0,130
341,20200908,45.0,140
342,20200908,57.0,110
343,20200908,38.0,110
344,20200908,29.0,180
345,20200908,37.0,150
346,20200908,39.0,100
347,20200908,33.0,110
348,20200908,49.0,110
349,20200908,24.0,200
350,20200908,20.0,160
351,20200908,26.0,220
352,20200908,12.0,190
353,20200908,21.0,200
354,20200908,10.0,160
355,20200908,9.0,220
356,20200908,19.0,210
357,20200908,11.0,120
358,20200908,27.0,170
359,20200908,15.0,110
360,20200908,13.0,120
361,20200908,76.0,80
362,20200908,54.0,80
363,20200908,52.0,70
364,20200915,74.0,210
365,20200915,71.0,150
366,20200915,72.0,140
367,20200915,63.0,80
368,20200915,64.0,100
369,20200915,69.0,80
370,20200915,73.0,80
371,20200915,70.0,60
372,20200915,56.0,140
373,20200915,43.0,120
374,20200915,75.0,220
375,20200915,41.0,140
376,20200915,34.0,330
377,20200915,35.0,400
378,20200915,36.0,280
379,20200915,47.0,120
380,20200915,40.0,210
381,20200915,44.0,260
382,20200915,53.0,100
383,20200915,31.0,120
384,20200915,0.0,220
385,20200915,5.0,80
386,20200915,3.0,180
387,20200915,2.0,150
388,20200915,1.0,190
389,20200915,7.0,150
390,20200915,6.0,230
391,20200915,4.0,200
392,20200915,8.0,190
393,20200915,45.0,200
394,20200915,57.0,150
395,20200915,38.0,240
396,20200915,29.0,230
397,20200915,37.0,280
398,20200915,39.0,120
399,20200915,33.0,210
400,20200915,49.0,190
401,20200915,24.0,360
402,20200915,20.0,200
403,20200915,26.0,260
404,20200915,12.0,190
405,20200915,21.0,240
406,20200915,10.0,200
407,20200915,9.0,200
408,20200915,19.0,160
409,20200915,11.0,120
410,20200915,27.0,150
411,20200915,15.0,150
412,20200915,13.0,160
413,20200915,76.0,100
414,20200915,54.0,80
415,20200915,52.0,70
0,20200922,74.0,280
1,20200922,71.0,450
2,20200922,72.0,290
3,20200922,63.0,250
4,20200922,64.0,260
5,20200922,69.0,260
6,20200922,73.0,250
7,20200922,70.0,190
8,20200922,56.0,200
9,20200922,43.0,480
10,20200922,41.0,950
11,20200922,36.0,1010
12,20200922,47.0,460
13,20200922,44.0,1000
14,20200922,53.0,240
15,20200922,31.0,310
16,20200922,0.0,280
17,20200922,5.0,170
18,20200922,3.0,240
19,20200922,2.0,260
20,20200922,1.0,630
21,20200922,7.0,390
22,20200922,6.0,230
23,20200922,4.0,350
24,20200922,8.0,320
25,20200922,45.0,360
26,20200922,57.0,240
27,20200922,38.0,550
28,20200922,29.0,350
29,20200922,37.0,460
30,20200922,39.0,260
31,20200922,33.0,310
32,20200922,49.0,540
33,20200922,24.0,340
34,20200922,20.0,270
35,20200922,26.0,350
36,20200922,12.0,370
37,20200922,21.0,350
38,20200922,10.0,470
39,20200922,9.0,430
40,20200922,19.0,340
41,20200922,11.0,310
42,20200922,27.0,340
43,20200922,15.0,330
44,20200922,13.0,560
45,20200922,76.0,370
46,20200922,54.0,290
47,20200922,52.0,240
48,20201001,74.0,330
49,20201001,71.0,400
50,20201001,72.0,440
51,20201001,63.0,290
52,20201001,64.0,250
53,20201001,69.0,320
54,20201001,73.0,200
55,20201001,70.0,180
56,20201001,56.0,180
57,20201001,43.0,320
58,20201001,41.0,560
59,20201001,35.0,1000
60,20201001,36.0,290
61,20201001,47.0,270
62,20201001,40.0,260
63,20201001,44.0,300
64,20201001,53.0,710
65,20201001,31.0,480
66,20201001,0.0,450
67,20201001,5.0,150
68,20201001,3.0,360
69,20201001,2.0,450
70,20201001,1.0,550
71,20201001,7.0,280
72,20201001,6.0,240
73,20201001,4.0,410
74,20201001,8.0,350
75,20201001,45.0,300
76,20201001,57.0,230
77,20201001,38.0,450
78,20201001,29.0,480
79,20201001,37.0,390
80,20201001,39.0,270
81,20201001,33.0,380
82,20201001,49.0,320
83,20201001,24.0,720
84,20201001,20.0,470
85,20201001,26.0,760
86,20201001,12.0,240
87,20201001,21.0,390
88,20201001,10.0,760
89,20201001,9.0,570
90,20201001,19.0,410
91,20201001,11.0,290
92,20201001,27.0,360
93,20201001,15.0,380
94,20201001,13.0,420
95,20201001,76.0,270
96,20201001,54.0,180
97,20201001,52.0,180
98,20201008,74.0,190
99,20201008,71.0,160
100,20201008,72.0,180
101,20201008,63.0,170
102,20201008,64.0,180
103,20201008,69.0,180
104,20201008,73.0,160
105,20201008,70.0,160
106,20201008,56.0,440
107,20201008,41.0,690
108,20201008,34.0,960
109,20201008,35.0,620
110,20201008,36.0,400
111,20201008,47.0,330
112,20201008,40.0,360
113,20201008,44.0,520
114,20201008,53.0,370
115,20201008,31.0,360
116,20201008,0.0,240
117,20201008,5.0,240
118,20201008,3.0,250
119,20201008,2.0,250
120,20201008,1.0,340
121,20201008,7.0,350
122,20201008,6.0,290
123,20201008,4.0,270
124,20201008,8.0,330
125,20201008,45.0,410
126,20201008,57.0,370
127,20201008,38.0,460
128,20201008,29.0,420
129,20201008,37.0,420
130,20201008,39.0,290
131,20201008,33.0,530
132,20201008,49.0,520
133,20201008,24.0,310
134,20201008,20.0,350
135,20201008,26.0,310
136,20201008,12.0,350
137,20201008,21.0,360
138,20201008,10.0,340
139,20201008,9.0,360
140,20201008,19.0,380
141,20201008,11.0,340
142,20201008,27.0,250
143,20201008,15.0,350
144,20201008,13.0,360
145,20201008,76.0,420
146,20201008,54.0,380
147,20201008,52.0,390
148,20201015,74.0,230
149,20201015,71.0,180
150,20201015,72.0,200
151,20201015,63.0,180
152,20201015,64.0,180
153,20201015,69.0,180
154,20201015,73.0,180
155,20201015,70.0,160
156,20201015,56.0,180
157,20201015,43.0,420
158,20201015,36.0,360
159,20201015,47.0,640
160,20201015,40.0,680
161,20201015,44.0,280
162,20201015,53.0,560
163,20201015,31.0,690
164,20201015,0.0,220
165,20201015,5.0,270
166,20201015,3.0,230
167,20201015,2.0,220
168,20201015,1.0,970
169,20201015,7.0,620
170,20201015,6.0,280
171,20201015,4.0,300
172,20201015,8.0,420
173,20201015,45.0,550
174,20201015,57.0,240
175,20201015,38.0,610
176,20201015,29.0,330
177,20201015,37.0,480
178,20201015,39.0,410
179,20201015,33.0,460
180,20201015,49.0,400
181,20201015,24.0,260
182,20201015,20.0,540
183,20201015,26.0,310
184,20201015,12.0,280
185,20201015,21.0,280
186,20201015,10.0,470
187,20201015,9.0,290
188,20201015,19.0,320
189,20201015,11.0,370
190,20201015,27.0,370
191,20201015,15.0,410
192,20201015,13.0,380
193,20201015,76.0,440
194,20201015,54.0,170
195,20201015,52.0,250
196,20201022,74.0,310
197,20201022,71.0,200
198,20201022,72.0,300
199,20201022,63.0,200
200,20201022,64.0,250
201,20201022,69.0,260
202,20201022,73.0,280
203,20201022,70.0,230
204,20201022,56.0,380
205,20201022,75.0,770
206,20201022,41.0,360
207,20201022,34.0,860
208,20201022,35.0,560
209,20201022,36.0,370
210,20201022,47.0,250
211,20201022,40.0,300
212,20201022,44.0,340
213,20201022,53.0,240
214,20201022,31.0,230
215,20201022,0.0,220
216,20201022,5.0,170
217,20201022,3.0,210
218,20201022,2.0,180
219,20201022,1.0,210
220,20201022,7.0,200
221,20201022,6.0,210
222,20201022,4.0,220
223,20201022,8.0,230
224,20201022,45.0,340
225,20201022,57.0,270
226,20201022,38.0,360
227,20201022,29.0,330
228,20201022,37.0,250
229,20201022,39.0,190
230,20201022,33.0,280
231,20201022,49.0,300
232,20201022,24.0,280
233,20201022,20.0,270
234,20201022,26.0,290
235,20201022,12.0,270
236,20201022,21.0,270
237,20201022,10.0,300
238,20201022,9.0,280
239,20201022,19.0,300
240,20201022,11.0,320
241,20201022,27.0,290
242,20201022,15.0,320
243,20201022,13.0,280
244,20201022,76.0,240
245,20201022,54.0,260
246,20201022,52.0,310
247,20201101,74.0,280
248,20201101,71.0,270
249,20201101,72.0,240
250,20201101,63.0,240
251,20201101,64.0,220
252,20201101,69.0,260
253,20201101,73.0,220
254,20201101,70.0,200
255,20201101,56.0,390
256,20201101,75.0,770
257,20201101,41.0,370
258,20201101,34.0,870
259,20201101,35.0,650
260,20201101,36.0,450
261,20201101,47.0,250
262,20201101,40.0,280
263,20201101,44.0,240
264,20201101,53.0,260
265,20201101,31.0,270
266,20201101,0.0,350
267,20201101,5.0,340
268,20201101,3.0,330
269,20201101,2.0,320
270,20201101,1.0,440
271,20201101,7.0,390
272,20201101,6.0,370
273,20201101,4.0,370
274,20201101,8.0,400
275,20201101,45.0,470
276,20201101,57.0,470
277,20201101,38.0,590
278,20201101,29.0,520
279,20201101,37.0,650
280,20201101,39.0,290
281,20201101,33.0,360
282,20201101,49.0,330
283,20201101,24.0,330
284,20201101,20.0,390
285,20201101,26.0,370
286,20201101,12.0,260
287,20201101,21.0,350
288,20201101,10.0,410
289,20201101,9.0,260
290,20201101,19.0,220
291,20201101,11.0,360
292,20201101,27.0,200
293,20201101,15.0,220
294,20201101,13.0,230
295,20201101,76.0,320
296,20201101,54.0,260
297,20201101,52.0,230
298,20201108,74.0,200
299,20201108,71.0,270
300,20201108,72.0,250
301,20201108,63.0,330
302,20201108,64.0,320
303,20201108,69.0,320
304,20201108,73.0,290
305,20201108,70.0,300
306,20201108,56.0,530
307,20201108,43.0,950
308,20201108,75.0,680
309,20201108,41.0,420
310,20201108,34.0,740
311,20201108,35.0,520
312,20201108,36.0,430
313,20201108,47.0,350
314,20201108,40.0,390
315,20201108,44.0,400
316,20201108,53.0,360
317,20201108,31.0,350
318,20201108,0.0,320
319,20201108,5.0,220
320,20201108,3.0,320
321,20201108,2.0,310
322,20201108,1.0,390
323,20201108,7.0,370
324,20201108,6.0,330
325,20201108,4.0,340
326,20201108,8.0,350
327,20201108,45.0,370
328,20201108,57.0,380
329,20201108,38.0,410
330,20201108,29.0,460
331,20201108,37.0,530
332,20201108,39.0,310
333,20201108,33.0,400
334,20201108,49.0,460
335,20201108,24.0,360
336,20201108,20.0,370
337,20201108,26.0,360
338,20201108,12.0,340
339,20201108,21.0,410
340,20201108,10.0,400
341,20201108,9.0,420
342,20201108,19.0,410
343,20201108,11.0,430
344,20201108,27.0,340
345,20201108,15.0,370
346,20201108,13.0,390
